,Unnamed: 0,EmbryoID,Position,Membrane signal,Cytoplasmic signal
160,60,1,60,-27.960756,16.104496
161,61,1,61,-9.77415,16.104496
162,62,1,62,-27.960756,16.104496
163,63,1,63,-27.96076,16.104496
164,64,1,64,-27.960756,16.104496
165,65,1,65,-27.96076,16.104496
166,66,1,66,-27.960756,16.104496
167,67,1,67,-27.960756,16.104496
168,68,1,68,-27.96076,16.104496
169,69,1,69,-27.96076,16.104496
170,70,1,70,379.9022,16.104496
171,71,1,71,245.6709,16.104496
172,72,1,72,-27.909231,16.104496
173,73,1,73,-27.960756,16.104496
174,74,1,74,251.82869,16.104496
175,75,1,75,558.27515,16.104496
176,76,1,76,833.8151,16.104496
177,77,1,77,735.33527,16.104496
178,78,1,78,89.74827,16.104496
179,79,1,79,-3.1982682,16.104496
180,80,1,80,452.69983,16.104496
181,81,1,81,343.79892,16.104496
182,82,1,82,1174.9989,16.104496
183,83,1,83,590.5581,16.104496
184,84,1,84,264.1934,16.104496
185,85,1,85,-27.960756,16.104496
186,86,1,86,486.9808,16.104496
187,87,1,87,-8.736712,16.104496
188,88,1,88,-27.960756,16.104496
189,89,1,89,-27.96076,16.104496
190,90,1,90,611.7002,16.104496
191,91,1,91,460.61594,16.104496
192,92,1,92,211.01118,16.104496
193,93,1,93,578.62213,16.104496
194,94,1,94,797.2435,16.104496
195,95,1,95,974.64966,16.104496
196,96,1,96,313.643,16.104496
197,97,1,97,1280.4446,16.104496
198,98,1,98,442.0984,16.104496
199,99,1,99,285.37842,16.104496
200,0,2,0,112.25867,0.04818945
201,1,2,1,181.5166,0.04818945
202,2,2,2,96.80287,0.04818945
203,3,2,3,-20.655472,0.04818945
204,4,2,4,360.2467,0.04818945
205,5,2,5,-20.655472,0.04818945
206,6,2,6,-20.65547,0.04818945
207,7,2,7,-20.655472,0.04818945
208,8,2,8,-0.20081031,0.04818945
209,9,2,9,133.34338,0.04818945
210,10,2,10,44.517117,0.04818945
211,11,2,11,69.1242,0.04818945
212,12,2,12,220.58092,0.04818945
213,13,2,13,127.49035,0.04818945
214,14,2,14,699.56836,0.04818945
215,15,2,15,117.645706,0.04818945
216,16,2,16,230.5467,0.04818945
217,17,2,17,-20.655472,0.04818945
218,18,2,18,-6.508148,0.04818945
219,19,2,19,-20.655472,0.04818945
220,20,2,20,341.38327,0.04818945
221,21,2,21,255.50171,0.04818945
222,22,2,22,68.37021,0.04818945
223,23,2,23,-0.14933154,0.04818945
224,24,2,24,302.32846,0.04818945
225,25,2,25,270.67673,0.04818945
226,26,2,26,-6.8249493,0.04818945
227,27,2,27,307.32144,0.04818945
228,28,2,28,122.65782,0.04818945
229,29,2,29,91.86483,0.04818945
230,30,2,30,-20.655472,0.04818945
231,31,2,31,143.8358,0.04818945
232,32,2,32,268.28537,0.04818945
233,33,2,33,-9.747898,0.04818945
234,34,2,34,155.38516,0.04818945
