,EmbryoID,Position,Membrane signal,Cytoplasmic signal
46,6,46,2097.9316,348.17545
47,6,47,1664.0939,348.17545
48,6,48,1765.2109,348.17545
49,6,49,1638.0107,348.17545
50,6,50,1907.5402,348.17545
51,6,51,2204.021,348.17545
52,6,52,2548.7383,348.17545
53,6,53,2309.5854,348.17545
54,6,54,2336.3276,348.17545
55,6,55,1743.3727,348.17545
56,6,56,1533.655,348.17545
57,6,57,1734.0927,348.17545
58,6,58,1648.7787,348.17545
59,6,59,2023.9406,348.17545
60,6,60,1940.0443,348.17545
61,6,61,1747.2299,348.17545
62,6,62,1971.7491,348.17545
63,6,63,1651.6925,348.17545
64,6,64,1516.5643,348.17545
65,6,65,2146.4763,348.17545
66,6,66,1598.2136,348.17545
67,6,67,1541.1075,348.17545
68,6,68,1514.0587,348.17545
69,6,69,1609.6677,348.17545
70,6,70,1842.8462,348.17545
71,6,71,2253.5598,348.17545
72,6,72,2011.1361,348.17545
73,6,73,2138.8374,348.17545
74,6,74,1857.3068,348.17545
75,6,75,2256.4404,348.17545
76,6,76,2079.2852,348.17545
77,6,77,2074.4448,348.17545
78,6,78,1731.3113,348.17545
79,6,79,2009.4672,348.17545
80,6,80,1989.2291,348.17545
81,6,81,1884.971,348.17545
82,6,82,2271.719,348.17545
83,6,83,2002.9478,348.17545
84,6,84,2395.735,348.17545
85,6,85,1938.2677,348.17545
86,6,86,2171.1602,348.17545
87,6,87,1812.913,348.17545
88,6,88,1806.36,348.17545
89,6,89,2439.2136,348.17545
90,6,90,1934.6505,348.17545
91,6,91,2211.8655,348.17545
92,6,92,2310.3398,348.17545
93,6,93,1963.6033,348.17545
94,6,94,2387.2173,348.17545
95,6,95,2059.3696,348.17545
96,6,96,2132.6365,348.17545
97,6,97,2547.1282,348.17545
98,6,98,2420.684,348.17545
99,6,99,2615.8157,348.17545
0,7,0,1541.1827,324.67175
1,7,1,1320.4991,324.67175
2,7,2,1350.0237,324.67175
3,7,3,1945.8657,324.67175
4,7,4,1257.6674,324.67175
5,7,5,1741.365,324.67175
6,7,6,1599.9583,324.67175
7,7,7,1137.5769,324.67175
8,7,8,1182.7642,324.67175
9,7,9,1668.256,324.67175
10,7,10,1117.4385,324.67175
11,7,11,1494.278,324.67175
12,7,12,1544.0564,324.67175
13,7,13,1568.567,324.67175
14,7,14,1251.2007,324.67175
15,7,15,1246.1735,324.67175
16,7,16,1307.3787,324.67175
17,7,17,1338.8042,324.67175
18,7,18,1568.2622,324.67175
19,7,19,1326.3358,324.67175
20,7,20,1778.8884,324.67175
21,7,21,1519.7958,324.67175
22,7,22,1586.3572,324.67175
23,7,23,1826.0293,324.67175
24,7,24,1669.6403,324.67175
25,7,25,1672.8068,324.67175
26,7,26,2153.3206,324.67175
27,7,27,1474.5658,324.67175
28,7,28,1487.2123,324.67175
29,7,29,1955.4242,324.67175
